ExpDay,Treatment,mesocosm,Species,Genus,abund,size_fract,label,fun_grp,vol,biovolume
36,D,13,Chrysochromulina,Chrysochromulina,34.8828828828829,small,PryChr000_3202213,I,4353.10583333375,151848.880960975
36,D,13,Oocystis,Oocystis,30.5225225225225,small,TreOoc000_2641454,IV,1180.14002970929,36020.8506365321
36,D,13,Chlamydomonas,Chlamydomonas,21.8018018018018,small,ChlChl000_5271004,I,512.692222223333,11177.6142142384
36,D,13,Koliella,Koliella,2.18018018018018,small,TreKollon_2638730,IV,129.794342216667,282.9750524003
36,D,13,Snowella,Snowella,23.981981981982,small,CyaSno000_3217087,I,463.368055566667,11112.4843596258
36,D,13,Sphaerocystis,Sphaerocystis,10.9009009009009,small,ChlSph000_2639562,I,262.068511908571,2856.78287756191
36,D,13,Cosmarium,Cosmarium,4.36036036036036,small,ZygCos000_2648709,IV,12272.1666666667,53511.0690690691
36,D,13,Tetraedron,Tetraedron,4.36036036036036,small,ChlTet000_2672378,IV,661.625,2884.92342342342
36,D,13,Cryptomonas,Cryptomonas,6.54054054054054,small,CryCry000_3202413,V,1644.2243666,10754.1161274919
36,D,13,Ankistrodesmus,Ankistrodesmus,2.18018018018018,small,ChlAnk000_9516573,IV,40.9835416675,89.3515052570721
36,D,13,Cryptomonas,Cryptomonas,6.54054054054054,small,CryCry000_3202413,V,1644.2243666,10754.1161274919
36,I,14,Merismopedia,Merismopedia,75.3333333333333,small,CyaMer000_0000000,I,57.9755208278333,4367.48923569678
36,I,14,Desmodesmus,Desmodesmus,2373,small,ChlDes000_2652440,IV,225.120555543333,534211.07830433
36,I,14,Elakatothrix gelatinosa,Elakatothrix,1261.83333333333,small,KleElagel_2641001,IV,157,198107.833333333
36,I,14,Oocystis,Oocystis,235.416666666667,small,TreOoc000_2641454,IV,1180.14002970929,277824.631994061
36,I,14,Rhodomonas,Rhodomonas,103.583333333333,small,CryRho000_3202546,I,96.67765625,10014.1938932292
36,I,14,Cosmarium,Cosmarium,65.9166666666667,small,ZygCos000_2648709,IV,12272.1666666667,808940.319444444
36,I,14,Cyclotella,Cyclotella,56.5,small,BacCyc000_3193095,VI,1359.03125,76785.265625
