ExpDay,Treatment,mesocosm,Genus,label,indiv_vol,biovolume
20,I,14,Elakatothrix,KleElagel_2641001,62.6744384967178,7485.36064099989
20,I,14,Cryptomonas,CryCry000_3202413,1570.97701650429,86863.7066558117
20,I,14,Quadrigula,ChlQua000_2641259,220.539804282003,31705.0804218925
20,I,14,Cryptomonas,CryCry000_3202413,1570.97701650429,3474.54826623247
20,I,14,Sphaerocystis,ChlSph000_2639562,62.6538811980344,138.572322829887
20,I,14,Oocystis,TreOoc000_2641454,211.647598311258,6085.34513522865
20,I,14,Ankyra,ChlAnkjud_2642105,32.5417369775149,359.864703963059
20,I,14,Tetraedron,ChlTet000_2672378,27,59.7162162162162
20,I,14,Coelastrum,ChlCoe000_7749802,167.373863544576,370.182734235977
20,D,11,Plagioselmis,CryRho000_3202546,77.4146568923807,2983.76491526292
20,D,11,Chroomonas,CryChr000_3202572,628.318530717959,33023.2530098276
20,D,11,Merismopedia,CyaMer000_0000000,0.116238921777732,170.24586763564
20,D,11,Quadrigula,ChlQua000_2641259,220.539804282003,28977.9045161237
20,D,11,Centrales,BacCyc000_3193095,5861.0694928046,513411.51371079
20,D,11,Cryptomonas,CryCry000_3202413,1570.97701650429,30274.7973878269
20,D,11,Chlamydomonas,ChlChl000_5271004,75.43548062953,1850.21597451033
20,D,11,Desmodesmus,ChlDes000_2652440,40.687969226831,8839.06705126132
20,D,11,Elakatothrix,KleElagel_2641001,62.6744384967178,6368.50030864323
20,D,11,Koliella,TreKollon_2638730,111.258112646547,389.834627257668
20,D,11,Ankyra,ChlAnkjud_2642105,32.5417369775149,285.055525461952
20,D,11,Sphaerocystis,ChlSph000_2639562,62.6538811980344,987.891429122495
20,D,11,Oocystis,TreOoc000_2641454,211.647598311258,5561.90200213306
20,D,11,Chrysochromulina,PryChr000_3202213,41.8317354512224,73.2866062943896
20,E,4,Cryptomonas,CryCry000_3202413,1570.97701650429,65886.1214984332
20,E,4,Chroomonas,CryChr000_3202572,628.318530717959,40491.2023139554
20,E,4,Elakatothrix,KleElagel_2641001,62.6744384967178,1153.99309882082
20,E,4,Centrales,BacCyc000_3193095,5861.0694928046,161875.413054397
20,E,4,Plagioselmis,CryRho000_3202546,77.4146568923807,7047.7981073753
20,E,4,Desmodesmus,ChlDes000_2652440,40.687969226831,3329.63214839567
20,E,4,Oocystis,TreOoc000_2641454,211.647598311258,2597.97426927069
20,E,4,Merismopedia,CyaMer000_0000000,0.116238921777732,143.872303786184
20,E,4,Golenkinia,ChlGolrad_2641100,2144.66058485063,8775.23622634717
20,E,4,Sphaerocystis,ChlSph000_2639562,62.6538811980344,320.448496544113
20,E,4,Chlamydomonas,ChlChl000_5271004,75.43548062953,231.49263118187
20,E,4,Quadrigula,ChlQua000_2641259,220.539804282003,5639.84603658665
